CITY_ID;CITY_NAME;COU_ID
 000095001;Bishkek                       ; 000000095
 000096001;Vientiane                     ; 000000096
 000097001;Riga                          ; 000000097
 000098001;Beirut                        ; 000000098
 000099001;Maseru                        ; 000000099
 000100001;Monrovia                      ; 000000100
 000101001;Vaduz                         ; 000000101
 000102001;Vilnius                       ; 000000102
 000103001;Luxembourg                    ; 000000103
 000104001;Macao                         ; 000000104
 000105001;Skopje                        ; 000000105
 000106001;Antananarivo                  ; 000000106
 000107001;Lilongwe                      ; 000000107
 000108001;Kuala Lumpur                  ; 000000108
 000109001;Male                          ; 000000109
 000110001;Bamako                        ; 000000110
 000111001;Valletta                      ; 000000111
 000112001;Dalap-Uliga-Darrit            ; 000000112
 000113001;Fort-de-France                ; 000000113
 000114001;Nouakchott                    ; 000000114
 000115001;Port-Louis                    ; 000000115
 000116001;Acapulco de Juarez            ; 000000116
 000116002;Ciudad de Mexico              ; 000000116
 000116003;Culiacan                      ; 000000116
 000116004;Guadalajara                   ; 000000116
 000116005;Juarez                        ; 000000116
 000116006;Merida                        ; 000000116
 000116007;Mexicali                      ; 000000116
 000116008;Monterrey                     ; 000000116
 000116009;Naucalpan de Jurez            ; 000000116
 000116010;Puebla                        ; 000000116
 000116011;Tijuana                       ; 000000116
 000116012;Zapopan                       ; 000000116
 000117001;Chisinau                      ; 000000117
 000118001;Ulan Bator                    ; 000000118
 000119001;Rabat                         ; 000000119
 000120001;Maputo                        ; 000000120
 000121001;Rangoon                       ; 000000121
 000122001;Windhoek                      ; 000000122
 000123001;Kathmandu                     ; 000000123
 000124001;Amsterdam                     ; 000000124
 000125001;Nouma                         ; 000000125
 000126001;Wellington                    ; 000000126
 000127001;Managua                       ; 000000127
 000128001;Niamey                        ; 000000128
 000129001;Abuja                         ; 000000129
 000130001;Pyongyang                     ; 000000130
 000131001;Oslo                          ; 000000131
 000132001;Masqat                        ; 000000132
 000133001;Islamabad                     ; 000000133
 000134001;Koror                         ; 000000134
 000135001;Gaza                          ; 000000135
 000136001;Ciudad de Panam               ; 000000136
 000137001;Port Moresby                  ; 000000137
 000138001;Asuncion                      ; 000000138
 000139001;Arequipa                      ; 000000139
 000139002;Lima                          ; 000000139
 000140001;Manila                        ; 000000140
